tt 	 wt 	 It 	 Cet 	 ut
0.0327 	0 	8.0927915.4305 	8 	
0.0328 	0 	8.1066615.4572 	8 	
0.0329 	0 	8.1204315.4837 	8 	
0.033 	0 	8.134115.51 	8 	
0.0331 	0 	8.1476715.5361 	8 	
0.0332 	0 	8.1611415.562 	8 	
0.0333 	0 	8.1745115.5878 	8 	
0.0334 	0 	8.1877915.6133 	8 	
0.0335 	0 	8.2009715.6387 	8 	
0.0336 	0 	8.2140515.6638 	8 	
0.0337 	0 	8.2270415.6888 	8 	
0.0338 	0 	8.2399315.7136 	8 	
0.0339 	0 	8.2527315.7383 	8 	
0.034 	0 	8.2654415.7627 	8 	
0.0341 	0 	8.2780615.787 	8 	
0.0342 	0 	8.2905815.8111 	8 	
0.0343 	0 	8.3030115.835 	8 	
0.0344 	0 	8.3153515.8588 	8 	
0.0345 	0 	8.3276115.8823 	8 	
0.0346 	0 	8.3397715.9057 	8 	
0.0347 	0 	8.3518415.929 	8 	
0.0348 	0 	8.3638315.952 	8 	
0.0349 	0 	8.3757315.9749 	8 	
0.035 	0 	8.3875415.9976 	8 	
0.0351 	0 	8.3992716.0202 	8 	
0.0352 	0 	8.4109116.0426 	8 	
0.0353 	0 	8.4224716.0648 	8 	
0.0354 	0 	8.4339416.0869 	8 	
0.0355 	0 	8.4453316.1088 	8 	
0.0356 	0 	8.4566416.1306 	8 	
0.0357 	0 	8.4678616.1522 	8 	
0.0358 	0 	8.47916.1736 	8 	
0.0359 	0 	8.4900716.1949 	8 	
0.036 	0 	8.5010516.216 	8 	
0.0361 	0 	8.5119516.237 	8 	
0.0362 	0 	8.5227716.2578 	8 	
0.0363 	0 	8.5335116.2785 	8 	
0.0364 	0 	8.5441816.299 	8 	
0.0365 	0 	8.5547716.3194 	8 	
0.0366 	0 	8.5652816.3396 	8 	
0.0367 	0 	8.5757116.3597 	8 	
0.0368 	0 	8.5860716.3796 	8 	
0.0369 	0 	8.5963516.3994 	8 	
0.037 	0 	8.6065616.419 	8 	
0.0371 	0 	8.616716.4385 	8 	
0.0372 	0 	8.6267616.4579 	8 	
