t 	I 	u 	w 	Ce
0.0386 	175.844 	200 	35.9095 	336.019
0.0387 	175.76 	200 	36.0773 	335.863
0.0388 	175.674 	200 	36.2449 	335.702
0.0389 	175.585 	200 	36.4125 	335.537
0.039 	175.494 	200 	36.58 	335.367
0.0391 	175.401 	200 	36.7474 	335.193
0.0392 	175.305 	200 	36.9148 	335.015
0.0393 	175.207 	200 	37.082 	334.833
0.0394 	175.107 	200 	37.2491 	334.646
0.0395 	175.005 	200 	37.4162 	334.455
0.0396 	174.901 	200 	37.5831 	334.26
0.0397 	174.795 	200 	37.75 	334.061
0.0398 	174.686 	200 	37.9167 	333.858
0.0399 	174.575 	200 	38.0833 	333.65
0.04 	174.463 	200 	38.2499 	333.439
0.0401 	174.348 	200 	38.4163 	333.224
0.0402 	174.231 	200 	38.5826 	333.005
0.0403 	174.112 	200 	38.7488 	332.781
0.0404 	173.991 	200 	38.9149 	332.554
0.0405 	173.868 	200 	39.0808 	332.323
0.0406 	173.743 	200 	39.2467 	332.089
0.0407 	173.617 	200 	39.4124 	331.85
0.0408 	173.488 	200 	39.578 	331.608
0.0409 	173.357 	200 	39.7435 	331.362
0.041 	173.224 	200 	39.9089 	331.112
0.0411 	173.09 	200 	40.0741 	330.858
0.0412 	172.953 	200 	40.2392 	330.601
0.0413 	172.815 	200 	40.4042 	330.341
0.0414 	172.675 	200 	40.569 	330.076
0.0415 	172.533 	200 	40.7337 	329.809
0.0416 	172.389 	200 	40.8983 	329.537
0.0417 	172.243 	200 	41.0627 	329.262
0.0418 	172.096 	200 	41.227 	328.984
0.0419 	171.946 	200 	41.3911 	328.702
0.042 	171.795 	200 	41.5551 	328.417
0.0421 	171.642 	200 	41.719 	328.129
0.0422 	171.488 	200 	41.8827 	327.837
0.0423 	171.332 	200 	42.0463 	327.542
0.0424 	171.174 	200 	42.2097 	327.244
0.0425 	171.014 	200 	42.3729 	326.942
0.0426 	170.853 	200 	42.536 	326.637
0.0427 	170.69 	200 	42.699 	326.329
0.0428 	170.525 	200 	42.8618 	326.018
0.0429 	170.359 	200 	43.0244 	325.703
0.043 	170.191 	200 	43.1869 	325.386
0.0431 	170.022 	200 	43.3492 	325.065
0.0432 	169.851 	200 	43.5114 	324.741
0.0433 	169.678 	200 	43.6734 	324.415
0.0434 	169.504 	200 	43.8352 	324.085
0.0435 	169.328 	200 	43.9968 	323.752
0.0436 	169.151 	200 	44.1583 	323.417
0.0437 	168.972 	200 	44.3197 	323.078
0.0438 	168.792 	200 	44.4808 	322.737
0.0439 	168.61 	200 	44.6418 	322.393
